Types,AZ,CO,ID,MT,NM,NV,NorCal,PNW,SD_IID,SoCal,UT,WY
STOR,2001.2842154443347,3776.7361121247864,339.9567622552699,168.77434470874448,12302.25965202395,22183.21899431374,21727.28611170413,3555.129475699919,346.68002791617147,13877.900618206524,0.0,1898.6042314423603
SOLAR,1898.8,6683.4,1526.8774773753278,1017.0,20043.258243696655,45113.72081850962,42117.7,18619.812060175653,7412.949206457815,37828.399999999994,1198.7,92.0
BIOPOWER,105.1211713222342,0.0,501.5655794205328,0.0,0.0,0.0,182.886,304.64848304299153,0.0,114.804,0.0,0.0
NONCCS_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCS_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEOTHERMAL,0.0,0.0,12.2,0.0,13.8,741.8,889.4,30.8,680.1,291.0,71.0,0.0
WIND,63.0,15808.445653418854,0.0,0.0,16195.5,8343.6,0.0,2093.0,0.0,1853.3,0.0,27146.48183614255
NONCCS_GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14
CCS_GAS,15183.197195515339,7039.302678853368,0.0,0.0,0.0,0.0,2331.421693540187,3827.7020391800634,0.0,0.0,0.0,0.0
HYDRO,2840.902,679.6,1811.868,2601.3959999999997,82.701,1050.6000000000001,8078.615,30613.155000000002,75.394,1808.938,261.809,307.2
NUCLEAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6342482922482304e-13,0.0,0.0
