Resource,Min_Power,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time
batteries,,0.92,0.92,1,10,1,1,0,0
biomass,,1,1,0,0,0.6,0.6,24,24
conventional_hydroelectric,,1,1,0,0,0.083,0.083,0,0
conventional_steam_coal,,1,1,0,0,0.57,0.57,24,24
geothermal,,1,1,0,0,1,1,0,0
hydroelectric_pumped_storage,,0.866,0.866,1,10,1,1,0,0
natural_gas_fired_combined_cycle,,1,1,0,0,0.64,0.64,6,6
natural_gas_fired_combustion_turbine,,1,1,0,0,0.8,0.8,6,6
natural_gas_steam_turbine,,1,1,0,0,0.8,0.8,6,6
nuclear,,1,1,0,0,0.25,0.25,24,24
onshore_wind_turbine,,1,1,0,0,1,1,0,0
other_gases,,1,1,0,0,0.6,0.6,24,24
other_natural_gas,,1,1,0,0,0.8,0.8,24,24
other_peaker,,1,1,0,0,0.9,0.9,6,6
small_hydroelectric,,1,1,0,0,1,1,0,0
solar_photovoltaic,,1,1,0,0,1,1,0,0
solar_thermal_with_energy_storage,,0.92,0.92,1,10,1,1,0,0
solar_thermal_without_energy_storage,,1,1,0,0,1,1,0,0
battery,0,0.92,0.92,1,10,1,1,0,0
biopower,0.3,1,1,0,0,0.6,0.6,24,24
coal,0.3,1,1,0,0,0.25,0.25,24,24
commpv,0,1,1,0,0,1,1,0,0
csp,0,1,1,0,0,1,1,0,0
geothermal_hydroflash_mid,0,1,1,0,0,1,1,0,0
landbasedwind,0,1,1,0,0,1,1,0,0
naturalgas_ccavgcf_mid,0.2,1,1,0,0,0.64,0.64,6,6
naturalgas_cchighcf_mid,0.2,1,1,0,0,0.64,0.64,6,6
naturalgas_ccccsavgcf_mid,0.6,1,1,0,0,0.64,0.64,6,6
naturalgas_ccccshighcf_mid,0.6,1,1,0,0,0.64,0.64,6,6
naturalgas_ctavgcf_mid,0.3,1,1,0,0,0.9,0.9,1,1
naturalgas_cthighcf_mid,0.3,1,1,0,0,0.9,0.9,1,1
nuclear_mid,0.4,1,1,0,0,0.25,0.25,24,24
offshorewind,0,1,1,0,0,1,1,0,0
respv,0,1,1,0,0,1,1,0,0
utilitypv,0,1,1,0,0,1,1,0,0
hydropower,0,1,1,1,10,0.083,0.083,0,0
newpumped,0,0.866,0.866,1,12,1,1,0,0
